incident_id,token_count,chunk_count
RCA-00001,46,1
RCA-00002,49,1
RCA-00003,45,1
RCA-00004,46,1
RCA-00005,46,1
RCA-00006,45,1
RCA-00007,45,1
RCA-00008,42,1
RCA-00009,45,1
RCA-00010,46,1
RCA-00011,44,1
RCA-00012,46,1
RCA-00013,42,1
RCA-00014,47,1
RCA-00015,45,1
RCA-00016,44,1
RCA-00017,45,1
RCA-00018,44,1
RCA-00019,44,1
RCA-00020,46,1
RCA-00021,44,1
RCA-00022,44,1
RCA-00023,45,1
RCA-00024,45,1
RCA-00025,44,1
RCA-00026,46,1
RCA-00027,45,1
RCA-00028,45,1
RCA-00029,46,1
RCA-00030,46,1
RCA-00031,47,1
RCA-00032,45,1
RCA-00033,42,1
RCA-00034,46,1
RCA-00035,47,1
RCA-00036,55,1
RCA-00037,48,1
RCA-00038,43,1
RCA-00039,46,1
RCA-00040,46,1
RCA-00041,41,1
RCA-00042,54,1
RCA-00043,45,1
RCA-00044,46,1
RCA-00045,45,1
RCA-00046,44,1
RCA-00047,46,1
RCA-00048,46,1
RCA-00049,46,1
RCA-00050,45,1
RCA-00051,46,1
RCA-00052,44,1
RCA-00053,46,1
RCA-00054,44,1
RCA-00055,45,1
RCA-00056,45,1
RCA-00057,46,1
RCA-00058,42,1
RCA-00059,46,1
RCA-00060,50,1
RCA-00061,48,1
RCA-00062,45,1
RCA-00063,45,1
RCA-00064,44,1
RCA-00065,45,1
RCA-00066,44,1
RCA-00067,58,1
RCA-00068,45,1
RCA-00069,49,1
RCA-00070,44,1
RCA-00071,44,1
RCA-00072,41,1
RCA-00073,50,1
RCA-00074,45,1
RCA-00075,44,1
RCA-00076,43,1
RCA-00077,46,1
RCA-00078,45,1
RCA-00079,45,1
RCA-00080,41,1
RCA-00081,42,1
RCA-00082,42,1
RCA-00083,44,1
RCA-00084,41,1
RCA-00085,45,1
RCA-00086,44,1
RCA-00087,43,1
RCA-00088,46,1
RCA-00089,46,1
RCA-00090,43,1
RCA-00091,47,1
RCA-00092,45,1
RCA-00093,47,1
RCA-00094,44,1
RCA-00095,44,1
RCA-00096,47,1
RCA-00097,45,1
RCA-00098,45,1
RCA-00099,46,1
RCA-00100,46,1
RCA-00101,43,1
RCA-00102,46,1
RCA-00103,44,1
RCA-00104,46,1
RCA-00105,46,1
RCA-00106,46,1
RCA-00107,43,1
RCA-00108,46,1
RCA-00109,44,1
RCA-00110,45,1
RCA-00111,44,1
RCA-00112,43,1
RCA-00113,46,1
RCA-00114,42,1
RCA-00115,46,1
RCA-00116,43,1
RCA-00117,47,1
RCA-00118,48,1
RCA-00119,57,1
RCA-00120,46,1
RCA-00121,45,1
RCA-00122,44,1
RCA-00123,42,1
RCA-00124,43,1
RCA-00125,45,1
RCA-00126,44,1
RCA-00127,58,1
RCA-00128,46,1
RCA-00129,46,1
RCA-00130,48,1
RCA-00131,47,1
RCA-00132,45,1
RCA-00133,46,1
RCA-00134,46,1
RCA-00135,59,1
RCA-00136,46,1
RCA-00137,46,1
RCA-00138,45,1
RCA-00139,45,1
RCA-00140,44,1
RCA-00141,48,1
RCA-00142,44,1
RCA-00143,41,1
RCA-00144,45,1
RCA-00145,42,1
RCA-00146,56,1
RCA-00147,45,1
RCA-00148,43,1
RCA-00149,46,1
RCA-00150,47,1
RCA-00151,46,1
RCA-00152,44,1
RCA-00153,45,1
RCA-00154,43,1
RCA-00155,52,1
RCA-00156,41,1
RCA-00157,54,1
RCA-00158,44,1
RCA-00159,56,1
RCA-00160,47,1
RCA-00161,42,1
RCA-00162,46,1
RCA-00163,43,1
RCA-00164,55,1
RCA-00165,41,1
RCA-00166,45,1
RCA-00167,48,1
RCA-00168,44,1
RCA-00169,50,1
RCA-00170,44,1
RCA-00171,44,1
RCA-00172,46,1
RCA-00173,44,1
RCA-00174,45,1
RCA-00175,44,1
RCA-00176,45,1
RCA-00177,44,1
RCA-00178,45,1
RCA-00179,46,1
RCA-00180,46,1
RCA-00181,41,1
RCA-00182,45,1
RCA-00183,44,1
RCA-00184,41,1
RCA-00185,46,1
RCA-00186,45,1
RCA-00187,45,1
RCA-00188,43,1
RCA-00189,58,1
RCA-00190,41,1
RCA-00191,41,1
RCA-00192,48,1
RCA-00193,46,1
RCA-00194,42,1
RCA-00195,45,1
RCA-00196,47,1
RCA-00197,46,1
RCA-00198,44,1
RCA-00199,44,1
RCA-00200,46,1
RCA-00201,45,1
RCA-00202,43,1
RCA-00203,44,1
RCA-00204,46,1
RCA-00205,41,1
RCA-00206,45,1
RCA-00207,48,1
RCA-00208,45,1
RCA-00209,43,1
RCA-00210,46,1
RCA-00211,53,1
RCA-00212,44,1
RCA-00213,45,1
RCA-00214,46,1
RCA-00215,47,1
RCA-00216,45,1
RCA-00217,46,1
RCA-00218,45,1
RCA-00219,49,1
RCA-00220,46,1
RCA-00221,41,1
RCA-00222,48,1
RCA-00223,44,1
RCA-00224,58,1
RCA-00225,45,1
RCA-00226,46,1
RCA-00227,44,1
RCA-00228,45,1
RCA-00229,45,1
RCA-00230,43,1
RCA-00231,49,1
RCA-00232,45,1
RCA-00233,45,1
RCA-00234,46,1
RCA-00235,43,1
RCA-00236,46,1
RCA-00237,55,1
RCA-00238,46,1
RCA-00239,45,1
RCA-00240,45,1
RCA-00241,43,1
RCA-00242,49,1
RCA-00243,45,1
RCA-00244,45,1
RCA-00245,45,1
RCA-00246,58,1
RCA-00247,41,1
RCA-00248,46,1
RCA-00249,43,1
RCA-00250,44,1
RCA-00251,46,1
RCA-00252,47,1
RCA-00253,46,1
RCA-00254,58,1
RCA-00255,42,1
RCA-00256,44,1
RCA-00257,44,1
RCA-00258,46,1
RCA-00259,43,1
RCA-00260,43,1
RCA-00261,44,1
RCA-00262,46,1
RCA-00263,46,1
RCA-00264,42,1
RCA-00265,54,1
RCA-00266,46,1
RCA-00267,48,1
RCA-00268,46,1
RCA-00269,45,1
RCA-00270,45,1
RCA-00271,43,1
RCA-00272,45,1
RCA-00273,47,1
RCA-00274,47,1
RCA-00275,46,1
RCA-00276,48,1
RCA-00277,44,1
RCA-00278,45,1
RCA-00279,49,1
RCA-00280,46,1
RCA-00281,44,1
RCA-00282,48,1
RCA-00283,47,1
RCA-00284,45,1
RCA-00285,56,1
RCA-00286,45,1
RCA-00287,41,1
RCA-00288,44,1
RCA-00289,45,1
RCA-00290,46,1
RCA-00291,41,1
RCA-00292,48,1
RCA-00293,48,1
RCA-00294,46,1
RCA-00295,45,1
RCA-00296,47,1
RCA-00297,49,1
RCA-00298,43,1
RCA-00299,44,1
RCA-00300,49,1
RCA-00301,45,1
RCA-00302,48,1
RCA-00303,45,1
RCA-00304,45,1
RCA-00305,42,1
RCA-00306,47,1
RCA-00307,45,1
RCA-00308,46,1
RCA-00309,41,1
RCA-00310,46,1
RCA-00311,43,1
RCA-00312,45,1
RCA-00313,43,1
RCA-00314,45,1
RCA-00315,44,1
RCA-00316,43,1
RCA-00317,43,1
RCA-00318,46,1
RCA-00319,43,1
RCA-00320,46,1
RCA-00321,44,1
RCA-00322,44,1
RCA-00323,48,1
RCA-00324,45,1
RCA-00325,45,1
RCA-00326,46,1
RCA-00327,44,1
RCA-00328,45,1
RCA-00329,44,1
RCA-00330,42,1
RCA-00331,44,1
RCA-00332,41,1
RCA-00333,44,1
RCA-00334,42,1
RCA-00335,45,1
RCA-00336,45,1
RCA-00337,53,1
RCA-00338,44,1
RCA-00339,45,1
RCA-00340,45,1
RCA-00341,46,1
RCA-00342,42,1
RCA-00343,44,1
RCA-00344,46,1
RCA-00345,59,1
RCA-00346,46,1
RCA-00347,44,1
RCA-00348,46,1
RCA-00349,42,1
RCA-00350,45,1
RCA-00351,45,1
RCA-00352,44,1
RCA-00353,55,1
RCA-00354,45,1
RCA-00355,45,1
RCA-00356,41,1
RCA-00357,45,1
RCA-00358,45,1
RCA-00359,46,1
RCA-00360,57,1
RCA-00361,41,1
RCA-00362,46,1
RCA-00363,45,1
RCA-00364,42,1
RCA-00365,46,1
RCA-00366,44,1
RCA-00367,45,1
RCA-00368,42,1
RCA-00369,44,1
RCA-00370,52,1
RCA-00371,42,1
RCA-00372,45,1
RCA-00373,43,1
RCA-00374,49,1
RCA-00375,42,1
RCA-00376,46,1
RCA-00377,47,1
RCA-00378,44,1
RCA-00379,45,1
RCA-00380,46,1
RCA-00381,46,1
RCA-00382,46,1
RCA-00383,46,1
RCA-00384,45,1
RCA-00385,41,1
RCA-00386,47,1
RCA-00387,44,1
RCA-00388,43,1
RCA-00389,44,1
RCA-00390,44,1
